Parameter Name,Value,Units
Zone 3 | End,19/11/2024 13:39:18817,Date/Time
Zone 3 | Bare Fibre Diameter | Avg,226.00000052616514,
Zone 3 | Bare Fibre Diameter | Min,210.0,
Zone 3 | Bare Fibre Diameter | Max,264.0,
Zone 3 | Diameter Error | Avg,10.050000190734899,
Zone 3 | Diameter Error | Min,10.0500001907349,
Zone 3 | Diameter Error | Max,10.0500001907349,
Zone 3 | Pf Process Position | Avg,25.02029734644397,
Zone 3 | Pf Process Position | Min,21.0853271484375,
Zone 3 | Pf Process Position | Max,28.9550476074219,
Zone 3 | Capstan Speed | Avg,5.0019311082774225,
Zone 3 | Capstan Speed | Min,4.99200010299683,
Zone 3 | Capstan Speed | Max,5.08799982070923,
Zone 3 | Fibre Length | Avg,0.025736275889065068,
Zone 3 | Fibre Length | Min,0.0078223999589681,
Zone 3 | Fibre Length | Max,0.0436640009284019,
Zone 3 | Good Fibre State | Avg,0.0,
Zone 3 | Good Fibre State | Min,0.0,
Zone 3 | Good Fibre State | Max,0.0,
Zone 3 | Furnace DegC Actual | Avg,2049.956495263113,
Zone 3 | Furnace DegC Actual | Min,2049.57495117188,
Zone 3 | Furnace DegC Actual | Max,2050.38134765625,
Zone 3 | Furnace Power | Avg,20.897681839164647,
Zone 3 | Furnace Power | Min,20.7258892059326,
Zone 3 | Furnace Power | Max,21.0676937103271,
Zone 3 | Preform Speed Actual | Avg,1.0973832429140462,
Zone 3 | Preform Speed Actual | Min,1.08377146720886,
Zone 3 | Preform Speed Actual | Max,1.10914278030396,
Zone 3 | Furnace MFC1 Actual | Avg,4.982413735882989,
Zone 3 | Furnace MFC1 Actual | Min,4.98199987411499,
Zone 3 | Furnace MFC1 Actual | Max,4.98400020599365,
Zone 3 | Furnace MFC2 Actual | Avg,0.9855172346378194,
Zone 3 | Furnace MFC2 Actual | Min,0.983999967575073,
Zone 3 | Furnace MFC2 Actual | Max,0.986000001430511,
Zone 3 | Furnace MFC3 Actual | Avg,4.954022983024859,
Zone 3 | Furnace MFC3 Actual | Min,4.9520001411438,
Zone 3 | Furnace MFC3 Actual | Max,4.95599985122681,
Zone 3 | Furnace MFC4 Actual | Avg,0.984101170781015,
Zone 3 | Furnace MFC4 Actual | Min,0.984000027179718,
Zone 3 | Furnace MFC4 Actual | Max,0.984799981117249,
Zone 3 | Cane Speed Actual | Avg,0.0,
Zone 3 | Cane Speed Actual | Min,0.0,
Zone 3 | Cane Speed Actual | Max,0.0,
Zone 3 | Tension N | Avg,-14.06511709059792,
Zone 3 | Tension N | Min,-14.1242523193359,
Zone 3 | Tension N | Max,-13.9952526092529,
Zone 3 | Trend Marker | Avg,0.0,
Zone 3 | Trend Marker | Min,0.0,
Zone 3 | Trend Marker | Max,0.0,
Zone 3 | Coated Outer Diameter | Avg,2.0,
Zone 3 | Coated Outer Diameter | Min,2.0,
Zone 3 | Coated Outer Diameter | Max,2.0,
Zone 3 | Furnace MFC1 Set | Avg,5.0,
Zone 3 | Furnace MFC1 Set | Min,5.0,
Zone 3 | Furnace MFC1 Set | Max,5.0,
Zone 3 | Furnace MFC3 Set | Avg,5.0,
Zone 3 | Furnace MFC3 Set | Min,5.0,
Zone 3 | Furnace MFC3 Set | Max,5.0,
Zone 3 | Furnace MFC4 Set | Avg,1.0,
Zone 3 | Furnace MFC4 Set | Min,1.0,
Zone 3 | Furnace MFC4 Set | Max,1.0,
Zone 3 | Furnace MFC2 Set | Avg,1.0,
Zone 3 | Furnace MFC2 Set | Min,1.0,
Zone 3 | Furnace MFC2 Set | Max,1.0,
Zone 3 | Furnace DegC Set | Avg,2050.0,
Zone 3 | Furnace DegC Set | Min,2050.0,
Zone 3 | Furnace DegC Set | Max,2050.0,
Zone 3 | UV 1 Intensity | Avg,0.0,
Zone 3 | UV 1 Intensity | Min,0.0,
Zone 3 | UV 1 Intensity | Max,0.0,
Zone 3 | UV 2 Intensity | Avg,0.0,
Zone 3 | UV 2 Intensity | Min,0.0,
Zone 3 | UV 2 Intensity | Max,0.0,
Zone 3 | UV1 Status | Avg,2.574712643678161,
Zone 3 | UV1 Status | Min,2.0,
Zone 3 | UV1 Status | Max,4.0,
Zone 3 | UV2 Status | Avg,4.0,
Zone 3 | UV2 Status | Min,4.0,
Zone 3 | UV2 Status | Max,4.0,
Zone 3 | Poly X Diameter | Avg,0.0,
Zone 3 | Poly X Diameter | Min,0.0,
Zone 3 | Poly X Diameter | Max,0.0,
Zone 3 | Poly Y Diameter | Avg,0.0,
Zone 3 | Poly Y Diameter | Min,0.0,
Zone 3 | Poly Y Diameter | Max,0.0,
Zone 3 | Poly Major Value | Avg,0.0,
Zone 3 | Poly Major Value | Min,0.0,
Zone 3 | Poly Major Value | Max,0.0,
Zone 3 | Poly Minor Value | Avg,0.941979467868805,
Zone 3 | Poly Minor Value | Min,0.941979467868805,
Zone 3 | Poly Minor Value | Max,0.941979467868805,
Zone 3 | Diameter Deviation Gauge 2 | Avg,-99.9499969482422,
Zone 3 | Diameter Deviation Gauge 2 | Min,-99.9499969482422,
Zone 3 | Diameter Deviation Gauge 2 | Max,-99.9499969482422,
Zone 3 | Coated Inner Diameter | Avg,281.51724050236845,
Zone 3 | Coated Inner Diameter | Min,1.0,
Zone 3 | Coated Inner Diameter | Max,421.0,
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,BN1,
,,
—,—,
